country,city,latitude,longitude,hemisphere,temp,humidity,clouds,wind,temp_max
US,hobart,41.5322222,-87.255,northern,40.01,74.0,1.0,6.93,42.01
RO,traian,43.766667,25.0,northern,61.14,59.0,75.0,18.34,62.6
US,cedar lake,41.3647222,-87.44111109999999,northern,41.4,74.0,0.0,8.99,42.01
IT,treia,43.316666999999995,13.316667,northern,62.04,76.0,0.0,3.0,64.99
US,hopkinton,42.2286111,-71.52305559999999,northern,33.87,79.0,0.0,1.01,37.0
CN,lingyuan,41.24,119.40111100000001,northern,41.43,49.0,0.0,5.75,41.43
GE,lagodekhi,41.8227778,46.275555600000004,northern,62.6,77.0,75.0,1.63,62.6
RO,rogova,44.471667,22.806667,northern,57.38,73.0,100.0,18.88,57.38
IT,fermo,43.15,13.716667000000001,northern,63.07,76.0,0.0,3.0,64.99
RO,alexandria,43.983333,25.333333,northern,60.01,69.0,100.0,7.0,60.01
GE,kulashi,42.2041667,42.3566667,northern,66.2,63.0,75.0,8.05,66.2
US,fort atkinson,42.9288889,-88.83694440000001,northern,38.66,53.0,0.0,1.01,39.0
BG,buhovo,42.7666667,23.5666667,northern,57.2,58.0,90.0,9.17,57.2
RU,psedakh,43.467222,44.569167,northern,62.31,63.0,87.0,11.18,62.6
RO,mosteni,43.866667,25.133333,northern,60.44,59.0,75.0,18.34,62.6
IT,ancona,43.633333,13.5,northern,61.92,93.0,0.0,4.7,62.6
US,saint john,41.45,-87.47,northern,41.72,65.0,1.0,12.75,43.0
GR,kiprinos,41.5755556,26.230555600000002,northern,58.86,76.0,53.0,1.01,64.0
RO,sarulesti,44.416667,26.65,northern,47.73,100.0,20.0,6.93,50.0
BG,novi iskar,42.8,23.35,northern,57.2,58.0,90.0,9.17,57.2
US,rexburg,43.826111100000006,-111.7888889,northern,33.82,64.0,1.0,6.93,35.6
US,old saybrook,41.2916667,-72.3766667,northern,37.81,64.0,1.0,8.05,41.0
RO,gangiova,43.9,23.85,northern,59.68,72.0,75.0,17.22,61.0
ES,sada,43.356187,-8.257964,northern,68.25,82.0,75.0,17.22,70.0
GE,kvareli,41.9513889,45.8016667,northern,69.39,31.0,79.0,4.5,69.39
RO,lita,43.8,24.816667000000002,northern,61.25,59.0,75.0,18.34,62.6
RU,levokumka,44.231667,43.15,northern,57.09,71.0,75.0,4.47,57.2
GR,petinos,41.1,24.9,northern,63.79,48.0,20.0,11.41,64.4
CA,nanticoke,42.8,-80.06666700000001,northern,34.41,68.0,79.0,2.24,37.0
CA,shelburne,44.066666999999995,-80.2,northern,32.74,86.0,0.0,9.19,35.01
IT,piombino,42.916667,10.533333,northern,66.2,72.0,58.0,3.0,66.99
US,medway,42.1416667,-71.3972222,northern,33.75,96.0,0.0,2.35,36.0
US,novi,42.4805556,-83.47555559999999,northern,38.64,74.0,0.0,10.94,41.0
RU,kantyshevo,43.214463,44.677116,northern,62.31,63.0,90.0,11.18,62.6
US,natick,42.283333299999995,-71.35,northern,32.34,98.0,0.0,1.01,33.01
RO,corbu,44.483333,24.716667,northern,59.0,72.0,75.0,17.22,59.0
US,des moines,41.60055560000001,-93.60888890000001,northern,49.55,66.0,1.0,13.87,51.01
GR,kilkis,40.991944399999994,22.8708333,northern,68.31,45.0,0.0,11.99,71.01
BA,lukavac,44.5419444,18.525833300000002,northern,64.4,52.0,20.0,2.24,64.4
BG,pernik,42.6,23.033333300000002,northern,57.2,58.0,90.0,9.17,57.2
US,south berwick,43.234444399999994,-70.81,northern,34.25,58.0,1.0,8.05,37.0
US,jay,44.5038889,-70.2166667,northern,36.28,48.0,0.0,1.01,39.0
CA,wyoming,42.95,-82.116667,northern,35.76,69.0,75.0,6.93,37.99
IT,teano,41.25,14.066667,northern,69.26,68.0,20.0,3.87,71.01
RO,adunatii-copaceni,44.253333000000005,26.0475,northern,48.67,94.0,88.0,9.8,50.0
RU,zavodskoy,42.983502,44.687646,northern,62.29,63.0,68.0,11.18,62.6
RS,ljubovija,44.189444,19.376667,northern,57.99,71.0,40.0,8.05,64.4
ES,tarrega,41.648983,1.1396,northern,72.05,35.0,0.0,8.01,75.99
US,prospect,41.5022222,-72.97916670000001,northern,34.77,74.0,1.0,4.7,37.0
ES,laviana,43.245385,-5.562896,northern,63.32,74.0,71.0,1.99,75.0
KZ,achisay,43.554167,68.888889,northern,41.68,59.0,0.0,14.63,41.68
BA,banovici,44.404166700000005,18.4475,northern,64.4,52.0,20.0,2.24,64.4
US,dover,43.1977778,-70.8741667,northern,34.18,58.0,1.0,8.05,37.0
BG,iskar,43.3833333,27.483333299999998,northern,50.92,93.0,90.0,4.7,51.8
RU,kakhun,43.543056,43.876389,northern,59.0,67.0,75.0,4.47,59.0
US,waldoboro,44.0952778,-69.37611109999999,northern,35.53,59.0,1.0,8.05,36.0
ES,ondarroa,43.325088,-2.423304,northern,74.79,44.0,0.0,6.93,78.8
US,auburn,41.366944399999994,-85.05888890000001,northern,38.17,69.0,1.0,6.93,39.99
BG,kameno,42.5666667,27.3,northern,57.11,71.0,90.0,6.93,57.2
BG,belica,41.9569444,23.5725,northern,55.0,73.0,91.0,3.0,55.0
IT,molfetta,41.2,16.6,northern,65.34,72.0,0.0,5.82,66.99
RU,sovetskoye,42.444233000000004,46.551722,northern,62.65,35.0,84.0,7.45,62.65
IT,cingoli,43.366667,13.216667000000001,northern,61.63,83.0,0.0,3.67,64.99
RU,dzheguta,43.967095,42.042615999999995,northern,54.43,57.0,1.0,2.17,54.43
RS,vucje,42.865278,21.911389,northern,57.92,87.0,75.0,9.17,60.01
IT,cori,41.65,12.916667,northern,67.14,72.0,0.0,7.0,69.01
CN,huadian,42.963333,126.747778,northern,46.78,84.0,98.0,10.42,46.78
KZ,oytal,42.907222,73.273611,northern,48.43,43.0,0.0,3.15,48.43
ES,foz,43.569196999999996,-7.254405,northern,67.23,83.0,100.0,17.0,70.0
US,sterling heights,42.5802778,-83.0302778,northern,38.64,60.0,40.0,4.7,42.01
RO,lipnita,44.1,27.6,northern,49.66,87.0,75.0,6.93,51.01
BG,tran,42.8352778,22.6516667,northern,57.2,58.0,90.0,9.17,57.2
RO,contesti,43.8,25.483333,northern,60.01,69.0,100.0,7.0,60.01
RU,ilaskhan-yurt,43.279098,46.102287,northern,59.0,77.0,0.0,4.47,59.0
US,ashtabula,41.865,-80.79,northern,42.37,69.0,40.0,5.82,44.01
ES,el astillero,43.400942,-3.820511,northern,72.36,64.0,0.0,2.24,75.0
US,kingston,41.9944444,-70.725,northern,37.94,80.0,1.0,3.36,41.0
UZ,gazalkent,41.5580556,69.77083329999999,northern,51.8,27.0,0.0,4.76,51.8
CN,changchun,43.88,125.322778,northern,42.8,52.0,0.0,11.18,42.8
BG,bansko,41.8394444,23.5,northern,55.0,73.0,67.0,3.0,55.0
US,pocatello,42.8713889,-112.4447222,northern,39.4,64.0,1.0,13.87,42.01
BG,senovo,43.65,26.366666700000003,northern,50.72,89.0,100.0,5.7,50.72
RO,cernica,44.416667,26.283333000000002,northern,47.77,100.0,20.0,6.93,50.0
RO,modelu,44.2,27.383333,northern,49.93,87.0,75.0,6.93,51.01
MK,vrapciste,41.8338889,20.8852778,northern,64.4,55.0,75.0,2.24,64.4
US,ashland,42.2611111,-71.46388890000001,northern,33.33,80.0,0.0,1.01,37.99
US,canton,42.158333299999995,-71.14527779999999,northern,32.49,92.0,1.0,3.36,37.0
BG,zlatograd,41.3833333,25.1,northern,64.27,48.0,20.0,11.41,64.4
US,river grove,41.9258333,-87.8358333,northern,41.43,69.0,1.0,9.17,44.01
ES,villaviciosa,43.480936,-5.435249,northern,75.0,52.0,77.0,3.0,75.0
RU,dachnoye,42.960668,44.659440999999994,northern,62.29,63.0,69.0,11.18,62.6
CN,mujiayingzi,42.116667,118.78333300000001,northern,38.48,56.0,0.0,9.46,38.48
US,mashpee,41.6483333,-70.4816667,northern,42.55,74.0,1.0,8.05,46.99
CA,owen sound,44.566666999999995,-80.85,northern,36.9,70.0,30.0,5.01,37.99
CN,huangnihe,43.558333000000005,128.023889,northern,42.57,87.0,35.0,8.37,42.57
KZ,karatau,43.166667,70.466667,northern,40.39,62.0,89.0,1.59,40.39
BG,balgarovo,42.6166667,27.3,northern,57.09,71.0,90.0,6.93,57.2
CN,fushun,41.7,123.88333300000001,northern,53.6,81.0,75.0,6.71,53.6
GR,kato kamila,41.0166667,23.4833333,northern,67.46,34.0,1.0,3.0,69.01
BG,kozloduj,43.783333299999995,23.7333333,northern,59.7,72.0,75.0,17.22,61.0
MX,san agustin,20.533333,-103.466667,northern,61.38,76.0,5.0,3.2,66.0
MX,jerecuaro,20.15,-100.516667,northern,55.22,76.0,90.0,1.63,64.99
IN,bilimora,20.75,72.95,northern,80.6,69.0,3.0,5.82,80.6
